                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                 3.6044,                 3.1562,                 2.7631,                0.02294,                0.03679,                0.00996,                0.00223,                    nan,                    nan,                    nan,             4.8552e-06,             4.8552e-06,             4.8552e-06
                    106,                 3.6094,                 3.1435,                 2.7748,                0.02931,                0.05978,                0.00902,                0.00218,                    nan,                    nan,                    nan,             4.8052e-06,             4.8052e-06,             4.8052e-06
                    107,                 3.6186,                 3.1274,                  2.781,                0.02425,                0.09577,                0.00958,                0.00218,                    nan,                    nan,                    nan,             4.7552e-06,             4.7552e-06,             4.7552e-06
                    108,                 3.5947,                 3.1469,                 2.7783,                0.03192,                0.07182,                0.00973,                0.00218,                    nan,                    nan,                    nan,             4.7053e-06,             4.7053e-06,             4.7053e-06
                    109,                 3.6609,                 3.1763,                 2.7856,                0.01906,                 0.0846,                0.00815,                  0.002,                    nan,                    nan,                    nan,             4.6554e-06,             4.6554e-06,             4.6554e-06
                    110,                 3.5583,                 3.2082,                 2.7386,                 0.0448,                0.02969,                0.01257,                0.00256,                    nan,                    nan,                    nan,             4.6054e-06,             4.6054e-06,             4.6054e-06
                    111,                 3.6163,                 3.2685,                 2.7585,                0.01646,                0.02702,                0.00901,                0.00207,                    nan,                    nan,                    nan,             4.5554e-06,             4.5554e-06,             4.5554e-06
                    112,                  3.604,                 3.1731,                   2.74,                0.02138,                0.04655,                0.00814,                0.00201,                    nan,                    nan,                    nan,             4.5055e-06,             4.5055e-06,             4.5055e-06
                    113,                 3.6333,                 3.2185,                 2.7608,                0.01264,                0.03104,                0.00942,                0.00205,                    nan,                    nan,                    nan,             4.4556e-06,             4.4556e-06,             4.4556e-06
                    114,                 3.5891,                  3.136,                 2.7676,                0.02114,                0.03265,                0.00914,                0.00219,                    nan,                    nan,                    nan,             4.4056e-06,             4.4056e-06,             4.4056e-06
                    115,                 3.6421,                 3.1904,                 2.7847,                0.02267,                0.03679,                0.00943,                0.00217,                    nan,                    nan,                    nan,             4.3557e-06,             4.3557e-06,             4.3557e-06
                    116,                 3.6425,                 3.1682,                 2.7585,                0.02999,                0.03104,                0.00924,                0.00214,                    nan,                    nan,                    nan,             4.3057e-06,             4.3057e-06,             4.3057e-06
                    117,                 3.6251,                 3.1864,                 2.7881,                0.03117,                0.03104,                0.00998,                0.00238,                    nan,                    nan,                    nan,             4.2558e-06,             4.2558e-06,             4.2558e-06
                    118,                  3.598,                 3.1991,                 2.7752,                0.02716,                0.03679,                0.01001,                0.00221,                    nan,                    nan,                    nan,             4.2058e-06,             4.2058e-06,             4.2058e-06
